account_id,customer_id,account_type,balance,currency
A0067,C0200,Current,18264.03,USD
A0068,C0142,Business,32508.9,INR
A0069,C0153,Current,97397.0,INR
A0070,C0032,Current,158350.79,USD
A0071,C0153,Savings,42965.2,USD
A0072,C0077,Savings,126197.85,USD
A0073,C0197,Current,163807.51,INR
A0074,C0171,Savings,147050.41,USD
A0075,C0008,Current,92236.61,USD
A0076,C0105,Savings,43441.76,USD
A0077,C0010,Current,21511.88,INR
A0078,C0043,Savings,78810.23,INR
A0079,C0021,Business,93683.11,INR
A0080,C0172,Current,126339.55,USD
A0081,C0111,Current,134440.04,USD
A0082,C0043,Current,159485.07,INR
A0083,C0122,Savings,151795.65,INR
A0084,C0087,Savings,177537.11,USD
A0085,C0011,Current,181273.38,USD
A0086,C0183,Savings,158708.54,INR
A0087,C0147,Savings,68236.61,USD
A0088,C0128,Current,58645.03,INR
A0089,C0058,Savings,146345.13,USD
A0090,C0113,Savings,150018.29,INR
A0091,C0187,Current,75781.84,INR
A0092,C0147,Savings,59832.29,INR
A0093,C0062,Business,183363.49,INR
A0094,C0041,Current,71045.41,INR
A0095,C0020,Business,197403.47,INR
A0096,C0034,Savings,140094.27,USD
A0097,C0052,Savings,128510.47,INR
A0098,C0045,Current,186620.6,USD
A0099,C0020,Business,187835.53,USD
A0100,C0029,Business,14358.01,USD
A0101,C0192,Current,57104.79,INR
A0102,C0158,Business,26839.45,INR
A0103,C0178,Current,94167.56,USD
A0104,C0091,Current,196905.62,USD
A0105,C0098,Business,126694.98,USD
A0106,C0120,Current,114222.8,INR
A0107,C0163,Savings,189686.75,INR
A0108,C0192,Business,170575.93,INR
A0109,C0181,Savings,42953.42,USD
A0110,C0033,Business,90674.11,INR
A0111,C0089,Current,54162.63,INR
A0112,C0002,Business,139855.43,USD
A0113,C0111,Business,152040.51,INR
A0114,C0173,Business,57278.66,USD
A0115,C0090,Current,55567.57,USD
A0116,C0132,Savings,134429.92,INR
A0117,C0151,Business,84578.55,INR
A0118,C0136,Savings,52929.88,USD
A0119,C0066,Current,191769.88,USD
A0120,C0192,Business,79220.43,USD
A0121,C0144,Savings,58644.58,USD
A0122,C0091,Business,54728.37,INR
A0123,C0136,Current,76827.46,USD
A0124,C0092,Current,175463.65,INR
A0125,C0004,Savings,76173.96,USD
A0126,C0104,Current,105406.54,USD
A0127,C0116,Business,135461.08,USD
A0128,C0047,Savings,153840.31,USD
A0129,C0111,Savings,54459.76,INR
A0130,C0157,Current,5234.49,INR
A0131,C0103,Business,126997.56,USD
A0132,C0072,Current,17813.19,INR
A0133,C0161,Savings,52579.39,USD
A0134,C0044,Business,79279.19,USD
A0135,C0072,Business,1108.54,USD
A0136,C0063,Savings,25948.07,USD
A0137,C0198,Business,71073.71,INR
A0138,C0104,Savings,134798.74,USD
A0139,C0019,Business,44227.05,INR
A0140,C0008,Savings,111957.04,USD
A0141,C0052,Savings,123928.96,INR
A0142,C0183,Business,134734.27,INR
A0143,C0134,Savings,70362.4,USD
A0144,C0066,Current,96344.96,USD
A0145,C0070,Current,24312.78,USD
A0146,C0140,Savings,186774.84,INR
A0147,C0178,Business,83693.01,USD
A0148,C0193,Current,170317.03,USD
A0149,C0188,Business,53807.13,INR
A0150,C0167,Current,10510.29,USD
A0151,C0079,Business,46270.31,USD
A0152,C0100,Savings,2058.33,INR
A0153,C0063,Current,131748.38,INR
A0154,C0077,Savings,160235.55,INR
A0155,C0126,Business,93759.7,USD
A0156,C0020,Business,43838.7,USD
A0157,C0067,Current,193071.36,USD
A0158,C0158,Savings,190311.55,USD
A0159,C0032,Business,148355.59,INR
A0160,C0179,Business,198411.15,INR
A0161,C0021,Current,53684.37,INR
A0162,C0168,Current,16481.01,INR
A0163,C0113,Current,147862.44,INR
A0164,C0018,Savings,91743.29,USD
A0165,C0191,Business,4429.81,USD
A0166,C0120,Current,193711.16,INR
A0167,C0151,Business,150462.3,INR
A0168,C0002,Current,123892.63,USD
A0169,C0041,Current,54260.12,USD
A0170,C0120,Business,178624.27,USD
A0171,C0013,Current,147509.45,USD
A0172,C0183,Current,156860.16,USD
A0173,C0091,Savings,56104.21,INR
A0174,C0038,Savings,85202.72,INR
A0175,C0123,Business,115679.79,INR
A0176,C0124,Business,133824.06,INR
A0177,C0157,Savings,193189.19,USD
A0178,C0037,Current,83074.41,USD
A0179,C0013,Savings,173670.76,INR
A0180,C0080,Current,97516.58,INR
A0181,C0102,Current,155773.46,USD
A0182,C0184,Business,97667.33,INR
A0183,C0049,Savings,19916.0,INR
A0184,C0119,Current,172831.32,USD
A0185,C0008,Business,50781.71,USD
A0186,C0171,Business,196868.12,USD
A0187,C0198,Current,28021.8,USD
A0188,C0146,Business,98297.47,USD
A0189,C0082,Savings,170751.0,INR
A0190,C0134,Business,17559.96,INR
A0191,C0069,Business,68016.46,INR
A0192,C0014,Business,113137.34,INR
A0193,C0047,Current,121985.36,USD
A0194,C0081,Savings,90124.98,USD
A0195,C0189,Current,137732.24,USD
A0196,C0001,Business,2248.78,INR
A0197,C0004,Current,44124.0,INR
A0198,C0187,Business,51047.85,INR
A0199,C0109,Savings,56021.39,INR
A0200,C0035,Savings,56966.44,USD
A0201,C0033,Savings,105565.77,USD
A0202,C0158,Savings,82544.6,USD
A0203,C0064,Current,165424.26,INR
A0204,C0197,Business,189179.2,USD
A0205,C0027,Savings,24204.04,USD
A0206,C0115,Current,62726.95,INR
A0207,C0096,Savings,184728.02,INR
A0208,C0102,Current,138773.45,USD
A0209,C0011,Current,122107.02,INR
A0210,C0187,Business,102412.3,USD
A0211,C0039,Current,174874.84,USD
A0212,C0145,Business,190398.06,USD
A0213,C0173,Current,52490.14,INR
A0214,C0007,Business,86923.44,INR
A0215,C0157,Savings,185721.23,INR
A0216,C0174,Savings,103789.69,USD
A0217,C0111,Current,20189.75,USD
A0218,C0027,Business,151479.52,INR
A0219,C0089,Savings,155616.66,INR
A0220,C0147,Business,117155.11,INR
A0221,C0072,Savings,189373.94,INR
A0222,C0108,Current,89176.31,INR
A0223,C0081,Current,185212.61,INR
A0224,C0121,Savings,192639.0,USD
A0225,C0064,Business,53060.25,INR
A0226,C0054,Savings,93914.92,INR
A0227,C0008,Savings,108127.0,USD
A0228,C0051,Savings,148044.26,INR
A0229,C0156,Savings,63626.25,USD
A0230,C0168,Business,172381.48,USD
A0231,C0124,Current,33030.77,USD
A0232,C0110,Savings,187200.83,USD
A0233,C0173,Business,164456.04,INR
A0234,C0199,Savings,57950.49,INR
A0235,C0001,Business,193605.96,USD
A0236,C0019,Savings,17153.73,USD
A0237,C0023,Business,110919.95,USD
A0238,C0143,Savings,48997.64,USD
A0239,C0174,Savings,43760.34,INR
A0240,C0159,Current,127680.83,INR
A0241,C0131,Savings,105119.1,USD
A0242,C0045,Business,6013.59,USD
A0243,C0186,Current,108652.23,USD
A0244,C0100,Savings,53033.33,USD
A0245,C0103,Business,58885.03,USD
A0246,C0166,Business,77936.91,USD
A0247,C0099,Current,31002.45,USD
A0248,C0078,Current,78653.35,USD
A0249,C0194,Business,101953.44,INR
A0250,C0194,Business,70369.36,USD
A0251,C0158,Current,104168.27,INR
A0252,C0181,Business,168298.55,INR
A0253,C0193,Current,172594.25,INR
A0254,C0139,Business,56682.36,USD
A0255,C0165,Savings,25912.06,USD
A0256,C0028,Savings,46000.7,INR
A0257,C0017,Current,195441.4,INR
A0258,C0110,Savings,164628.38,USD
A0259,C0132,Savings,83070.11,INR
A0260,C0018,Business,194152.57,INR
A0261,C0068,Savings,121903.39,INR
A0262,C0161,Current,83314.74,INR
A0263,C0134,Business,104841.47,INR
A0264,C0111,Current,142570.09,INR
A0265,C0073,Current,195570.08,USD
A0266,C0130,Current,119186.12,USD
A0267,C0026,Current,85229.59,INR
A0268,C0024,Current,94566.33,INR
A0269,C0130,Current,47726.34,INR
A0270,C0030,Savings,59725.7,INR
A0271,C0140,Savings,24420.92,USD
A0272,C0190,Current,51548.92,USD
A0273,C0166,Current,132127.76,USD
A0274,C0158,Savings,123244.5,USD
A0275,C0095,Current,177958.97,INR
A0276,C0175,Business,124451.9,INR
A0277,C0185,Business,149917.14,INR
A0278,C0034,Savings,117207.88,INR
A0279,C0071,Savings,19023.98,INR
A0280,C0081,Business,182420.82,USD
A0281,C0169,Savings,126025.2,USD
A0282,C0093,Savings,93564.84,USD
A0283,C0086,Business,180179.15,INR
A0284,C0117,Savings,178998.78,INR
A0285,C0115,Business,99635.5,USD
A0286,C0176,Current,24765.98,USD
A0287,C0113,Current,160327.88,USD
A0288,C0051,Business,131730.98,INR
A0289,C0004,Savings,31139.17,INR
A0290,C0002,Business,165967.81,USD
A0291,C0041,Business,162495.12,USD
A0292,C0006,Savings,90505.09,USD
A0293,C0033,Savings,194763.35,USD
A0294,C0016,Business,58642.18,INR
A0295,C0064,Current,35009.68,INR
A0296,C0038,Current,147481.93,INR
A0297,C0172,Current,127805.02,INR
A0298,C0104,Current,193092.86,INR
A0299,C0167,Current,51675.42,USD
A0300,C0120,Current,129013.96,INR
