txn_id,customer_id,amount,currency,transaction_type,flagged,date
T00056,C0083,28410.59,INR,Deposit,True,2024-08-27
T00057,C0110,23046.73,INR,Withdrawal,True,2024-06-05
T00058,C0014,43894.25,INR,Withdrawal,True,2024-09-06
T00059,C0103,17219.41,INR,Deposit,False,2024-10-25
T00060,C0145,24228.92,USD,Transfer,True,2024-02-09
T00061,C0103,24156.12,INR,Deposit,True,2024-06-29
T00062,C0062,11333.06,USD,Payment,False,2024-11-02
T00063,C0182,49810.49,INR,Deposit,True,2024-04-29
T00064,C0104,8147.13,USD,Payment,False,2024-03-25
T00065,C0128,1678.12,USD,Transfer,False,2024-08-16
T00066,C0066,32122.6,USD,Withdrawal,True,2024-05-18
T00067,C0130,36158.95,USD,Payment,True,2024-06-29
T00068,C0104,39546.07,INR,Withdrawal,True,2024-04-29
T00069,C0012,27182.74,USD,Withdrawal,True,2024-09-04
T00070,C0016,17297.41,INR,Deposit,False,2024-07-01
T00071,C0076,37214.93,USD,Withdrawal,True,2024-03-11
T00072,C0186,10396.23,USD,Deposit,False,2024-09-06
T00073,C0058,21801.87,USD,Payment,True,2024-02-10
T00074,C0122,10426.02,USD,Deposit,False,2024-11-24
T00075,C0120,34085.02,INR,Withdrawal,True,2024-11-27
T00076,C0191,41401.09,USD,Deposit,True,2024-08-02
T00077,C0157,32625.25,USD,Deposit,True,2024-03-22
T00078,C0012,38161.66,USD,Transfer,True,2024-02-12
T00079,C0194,8810.08,USD,Withdrawal,False,2024-09-27
T00080,C0066,5797.31,INR,Transfer,False,2024-06-06
T00081,C0097,20240.3,USD,Withdrawal,True,2024-10-25
T00082,C0104,40698.32,INR,Withdrawal,True,2024-10-05
T00083,C0120,34353.44,USD,Withdrawal,True,2024-09-05
T00084,C0192,39925.05,USD,Transfer,True,2024-10-29
T00085,C0127,33483.14,INR,Withdrawal,True,2024-06-15
T00086,C0192,6916.08,INR,Payment,False,2024-12-28
T00087,C0195,34558.73,USD,Transfer,True,2024-12-26
T00088,C0054,34995.89,USD,Withdrawal,True,2024-11-10
T00089,C0125,44183.18,USD,Payment,True,2024-06-10
T00090,C0071,7851.25,INR,Transfer,False,2024-04-23
T00091,C0071,15845.7,USD,Deposit,False,2024-06-16
T00092,C0085,7225.49,USD,Deposit,False,2024-11-27
T00093,C0174,11941.98,USD,Deposit,False,2024-10-16
T00094,C0173,18766.28,USD,Transfer,False,2024-02-20
T00095,C0024,40493.17,USD,Payment,True,2024-07-29
T00096,C0001,48696.96,USD,Deposit,True,2024-08-05
T00097,C0164,20107.36,INR,Transfer,True,2024-08-01
T00098,C0138,6784.82,USD,Withdrawal,True,2024-07-27
T00099,C0056,19835.11,INR,Payment,False,2024-06-27
T00100,C0053,47105.44,INR,Withdrawal,True,2024-02-15
T00101,C0044,47923.37,INR,Withdrawal,True,2024-03-27
T00102,C0199,42136.34,INR,Withdrawal,True,2024-04-18
T00103,C0151,43211.05,USD,Withdrawal,True,2024-10-09
T00104,C0035,49957.65,USD,Deposit,True,2024-07-26
T00105,C0161,5764.2,INR,Withdrawal,False,2024-07-04
T00106,C0038,18524.93,USD,Payment,False,2024-09-11
T00107,C0116,8054.36,INR,Deposit,False,2024-03-29
T00108,C0060,31798.9,INR,Deposit,True,2024-05-03
T00109,C0141,7428.3,USD,Payment,False,2024-11-18
T00110,C0030,22363.01,USD,Transfer,True,2024-09-11
T00111,C0075,8789.71,USD,Deposit,False,2024-05-10
T00112,C0119,30603.07,INR,Payment,True,2024-03-06
T00113,C0133,13625.35,USD,Transfer,False,2024-08-16
T00114,C0190,41415.53,INR,Deposit,True,2024-11-15
T00115,C0185,22716.56,INR,Payment,True,2024-05-10
T00116,C0084,14352.42,INR,Withdrawal,False,2024-07-30
T00117,C0124,18256.98,INR,Payment,False,2024-08-16
T00118,C0073,34460.33,INR,Payment,True,2024-08-12
T00119,C0152,37725.36,USD,Transfer,True,2024-04-20
T00120,C0044,13949.98,INR,Deposit,False,2024-04-30
T00121,C0043,35952.04,USD,Withdrawal,True,2024-10-23
T00122,C0177,38804.58,USD,Withdrawal,True,2024-11-15
T00123,C0032,40223.69,INR,Withdrawal,True,2024-05-06
T00124,C0179,13684.58,INR,Withdrawal,False,2024-04-09
T00125,C0143,48486.87,USD,Deposit,True,2024-07-10
T00126,C0123,20575.99,INR,Payment,True,2024-02-28
T00127,C0198,29362.93,INR,Transfer,True,2024-09-09
T00128,C0134,35231.62,USD,Transfer,True,2024-11-21
T00129,C0085,24129.56,INR,Deposit,True,2024-05-11
T00130,C0058,49752.86,INR,Withdrawal,True,2024-12-13
T00131,C0071,32541.64,INR,Deposit,True,2024-12-16
T00132,C0182,42453.93,USD,Deposit,True,2024-06-10
T00133,C0126,19502.76,INR,Transfer,False,2024-09-30
T00134,C0110,15250.81,USD,Payment,False,2024-06-30
T00135,C0093,7040.06,INR,Payment,False,2024-09-06
T00136,C0183,31490.6,USD,Transfer,True,2024-07-24
T00137,C0091,25354.55,USD,Payment,True,2024-06-25
T00138,C0012,18897.51,USD,Payment,False,2024-05-30
T00139,C0105,3319.6,USD,Transfer,False,2024-01-25
T00140,C0146,41891.48,INR,Withdrawal,True,2024-03-12
T00141,C0065,41223.45,INR,Withdrawal,True,2024-08-25
T00142,C0036,13358.27,USD,Withdrawal,True,2024-04-25
T00143,C0024,22754.19,INR,Payment,True,2024-07-08
T00144,C0012,17540.07,USD,Transfer,False,2024-04-23
T00145,C0047,6107.21,INR,Withdrawal,False,2024-08-09
T00146,C0111,46730.4,USD,Payment,True,2024-11-10
T00147,C0091,36076.5,INR,Payment,True,2024-12-27
T00148,C0091,38034.5,INR,Deposit,True,2024-02-19
T00149,C0181,44805.28,INR,Withdrawal,True,2024-04-18
T00150,C0113,40263.54,INR,Payment,True,2024-09-27
T00151,C0028,26226.65,INR,Deposit,True,2024-09-15
T00152,C0078,27974.5,INR,Deposit,True,2024-11-23
T00153,C0049,24359.91,USD,Transfer,True,2024-02-08
T00154,C0196,45216.66,INR,Deposit,True,2024-10-04
T00155,C0007,4304.17,INR,Transfer,False,2024-11-02
T00156,C0182,41739.66,INR,Payment,True,2024-01-17
T00157,C0017,38402.1,INR,Transfer,True,2024-01-06
T00158,C0024,37792.3,INR,Deposit,True,2024-06-08
T00159,C0139,7459.32,USD,Transfer,False,2024-08-03
T00160,C0177,42263.28,USD,Withdrawal,True,2024-10-16
T00161,C0082,19020.98,INR,Transfer,False,2024-07-11
T00162,C0123,8858.98,USD,Deposit,True,2024-01-01
T00163,C0191,14534.69,INR,Payment,False,2024-06-26
T00164,C0098,41850.38,INR,Payment,True,2024-08-02
T00165,C0055,36293.22,INR,Withdrawal,True,2024-08-19
T00166,C0016,46117.67,USD,Withdrawal,True,2024-01-08
T00167,C0108,24260.56,USD,Transfer,True,2024-09-01
T00168,C0142,16649.72,USD,Withdrawal,False,2024-10-29
T00169,C0028,7408.26,INR,Payment,False,2024-02-22
T00170,C0177,6300.13,INR,Withdrawal,False,2024-12-15
T00171,C0160,17172.7,USD,Payment,False,2024-01-12
T00172,C0057,22860.12,USD,Deposit,True,2024-05-11
T00173,C0184,47941.71,USD,Transfer,True,2024-06-25
T00174,C0145,24651.87,INR,Withdrawal,True,2024-12-28
T00175,C0138,41086.42,USD,Withdrawal,True,2024-05-26
T00176,C0009,26152.41,INR,Withdrawal,True,2024-09-05
T00177,C0070,14231.26,INR,Deposit,False,2024-04-02
T00178,C0138,4972.68,INR,Withdrawal,False,2024-04-30
T00179,C0121,12568.54,INR,Transfer,False,2024-06-07
T00180,C0088,19610.23,USD,Transfer,False,2024-03-04
T00181,C0170,18405.3,USD,Withdrawal,False,2024-08-22
T00182,C0040,46489.06,INR,Payment,True,2024-05-04
T00183,C0168,1741.69,INR,Transfer,False,2024-01-22
T00184,C0181,20557.15,USD,Payment,True,2024-05-16
T00185,C0089,28314.27,USD,Payment,True,2024-01-28
T00186,C0169,40388.39,USD,Withdrawal,True,2024-12-15
T00187,C0022,46951.82,USD,Deposit,True,2024-09-15
T00188,C0188,29642.63,USD,Deposit,True,2024-10-06
T00189,C0110,48626.85,USD,Deposit,True,2024-03-12
T00190,C0110,18747.57,USD,Withdrawal,False,2024-11-01
T00191,C0168,32167.16,USD,Transfer,True,2024-08-03
T00192,C0177,35978.59,USD,Deposit,True,2024-07-14
T00193,C0179,37406.23,USD,Withdrawal,True,2024-06-03
T00194,C0047,31547.81,INR,Deposit,True,2024-05-19
T00195,C0154,9701.56,INR,Deposit,False,2024-05-05
T00196,C0198,36253.06,USD,Transfer,True,2024-08-21
T00197,C0152,43001.92,INR,Deposit,True,2024-11-02
T00198,C0190,40400.34,INR,Payment,True,2024-11-01
T00199,C0133,3592.39,INR,Deposit,False,2024-08-13
T00200,C0020,36300.22,USD,Withdrawal,True,2024-08-19
T00201,C0091,20367.74,USD,Transfer,True,2024-10-06
T00202,C0125,42203.55,INR,Withdrawal,True,2024-07-21
T00203,C0163,33883.64,USD,Deposit,True,2024-04-24
T00204,C0177,13378.98,USD,Deposit,False,2024-09-13
T00205,C0020,42422.64,USD,Withdrawal,True,2024-02-13
T00206,C0061,18221.32,INR,Payment,False,2024-02-13
T00207,C0030,9435.85,USD,Withdrawal,False,2024-05-28
T00208,C0025,11718.03,USD,Transfer,False,2024-07-07
T00209,C0147,2129.68,USD,Withdrawal,False,2024-06-10
T00210,C0200,12338.42,INR,Transfer,False,2024-06-08
T00211,C0130,16699.65,USD,Withdrawal,False,2024-05-26
T00212,C0198,13163.39,USD,Payment,False,2024-11-28
T00213,C0035,39890.4,USD,Payment,True,2024-12-24
T00214,C0007,29923.25,INR,Deposit,True,2024-06-29
T00215,C0014,13517.58,USD,Withdrawal,False,2024-05-11
T00216,C0048,31746.62,INR,Deposit,True,2024-06-20
T00217,C0035,6574.24,USD,Transfer,False,2024-06-16
T00218,C0071,13778.27,USD,Deposit,False,2024-03-03
T00219,C0017,39248.17,USD,Withdrawal,True,2024-10-31
T00220,C0086,39939.8,USD,Payment,True,2024-05-05
T00221,C0117,35219.31,USD,Withdrawal,True,2024-03-24
T00222,C0021,20944.72,INR,Transfer,True,2024-04-12
T00223,C0182,28701.66,USD,Payment,True,2024-12-15
T00224,C0126,17364.85,INR,Deposit,False,2024-08-01
T00225,C0168,39345.34,USD,Withdrawal,True,2024-01-30
T00226,C0085,38333.66,INR,Payment,True,2024-05-17
T00227,C0185,46988.16,USD,Deposit,True,2024-04-09
T00228,C0061,43210.29,INR,Payment,True,2024-10-27
T00229,C0030,37275.23,USD,Payment,True,2024-01-30
T00230,C0132,29326.66,INR,Deposit,True,2024-10-26
T00231,C0172,4590.71,INR,Deposit,False,2024-06-11
T00232,C0063,178.53,USD,Deposit,False,2024-09-24
T00233,C0017,9110.55,USD,Payment,False,2024-12-24
T00234,C0147,4948.23,USD,Deposit,False,2024-02-15
T00235,C0174,49270.79,USD,Payment,True,2024-01-29
T00236,C0146,38963.56,INR,Withdrawal,True,2024-11-24
T00237,C0032,7531.78,INR,Payment,False,2024-06-15
T00238,C0135,21041.36,INR,Deposit,True,2024-01-31
T00239,C0155,5728.5,USD,Withdrawal,False,2024-04-19
T00240,C0182,36914.34,USD,Deposit,True,2024-09-27
T00241,C0150,49232.93,INR,Withdrawal,True,2024-07-14
T00242,C0018,43476.79,USD,Withdrawal,True,2024-07-16
T00243,C0096,42008.25,INR,Withdrawal,True,2024-06-27
T00244,C0154,39236.52,INR,Deposit,True,2024-11-12
T00245,C0181,9352.29,USD,Payment,False,2024-02-08
T00246,C0123,9695.54,INR,Payment,False,2024-10-25
T00247,C0008,25607.39,INR,Payment,True,2024-07-07
T00248,C0167,49032.71,INR,Withdrawal,True,2024-07-29
T00249,C0124,15991.4,INR,Transfer,False,2024-06-09
T00250,C0090,39541.76,USD,Payment,True,2024-02-06
T00251,C0068,32513.48,INR,Withdrawal,True,2024-10-18
T00252,C0173,47824.46,INR,Deposit,True,2024-01-31
T00253,C0114,39009.1,USD,Payment,True,2024-06-04
T00254,C0104,25784.25,INR,Deposit,True,2024-04-02
T00255,C0192,34384.64,USD,Transfer,True,2024-02-17
T00256,C0071,44887.61,USD,Withdrawal,True,2024-12-25
T00257,C0105,13685.78,INR,Payment,False,2024-03-14
T00258,C0110,48110.81,INR,Payment,True,2024-10-31
T00259,C0057,22600.77,INR,Payment,True,2024-12-15
T00260,C0031,27902.7,USD,Withdrawal,True,2024-12-07
T00261,C0088,29444.22,USD,Transfer,True,2024-08-30
T00262,C0104,29466.84,USD,Payment,True,2024-01-01
T00263,C0091,32303.24,INR,Withdrawal,True,2024-04-17
T00264,C0137,14159.04,INR,Transfer,False,2024-04-02
T00265,C0026,14430.86,USD,Transfer,False,2024-08-19
T00266,C0174,39666.5,INR,Deposit,True,2024-07-13
T00267,C0132,22684.69,INR,Payment,True,2024-02-01
T00268,C0117,40408.76,INR,Payment,True,2024-12-03
T00269,C0083,42363.03,INR,Deposit,True,2024-10-07
T00270,C0016,44846.99,INR,Deposit,True,2024-09-15
T00271,C0116,22734.27,USD,Deposit,True,2024-03-18
T00272,C0093,14305.54,INR,Transfer,False,2024-10-03
T00273,C0182,2774.48,INR,Payment,False,2024-02-28
T00274,C0185,20701.05,INR,Transfer,True,2024-12-13
T00275,C0163,46623.09,USD,Deposit,True,2024-07-29
T00276,C0036,3491.44,INR,Payment,False,2024-01-23
T00277,C0021,262.29,INR,Transfer,False,2024-07-08
T00278,C0183,26817.52,INR,Transfer,True,2024-07-05
T00279,C0081,46977.64,USD,Withdrawal,True,2024-05-21
T00280,C0182,15906.74,USD,Payment,False,2024-03-20
T00281,C0082,6603.53,INR,Payment,False,2024-04-29
T00282,C0200,9174.83,USD,Transfer,False,2024-12-27
T00283,C0058,47761.56,USD,Withdrawal,True,2024-09-15
T00284,C0125,34156.93,INR,Payment,True,2024-12-04
T00285,C0128,14115.07,INR,Transfer,False,2024-02-14
T00286,C0199,31105.95,INR,Transfer,True,2024-05-11
T00287,C0155,11948.21,USD,Deposit,False,2024-04-20
T00288,C0003,18465.98,USD,Transfer,False,2024-05-10
T00289,C0129,10178.41,INR,Deposit,False,2024-01-21
T00290,C0015,19871.1,INR,Transfer,False,2024-08-29
T00291,C0132,13545.43,USD,Transfer,False,2024-08-31
T00292,C0024,9101.18,USD,Withdrawal,False,2024-07-16
T00293,C0127,42172.23,USD,Payment,True,2024-12-27
T00294,C0149,40451.36,INR,Transfer,True,2024-01-21
T00295,C0192,20702.32,USD,Payment,True,2024-04-02
T00296,C0153,48577.53,INR,Transfer,True,2024-07-01
T00297,C0010,12611.92,INR,Withdrawal,False,2024-02-23
T00298,C0162,49034.26,USD,Transfer,True,2024-10-27
T00299,C0189,33868.54,INR,Withdrawal,True,2024-08-23
T00300,C0044,10934.11,INR,Transfer,False,2024-05-01
T00301,C0096,33836.05,USD,Payment,True,2024-07-25
T00302,C0178,33140.41,USD,Withdrawal,True,2024-09-30
T00303,C0016,46913.34,INR,Deposit,True,2024-06-27
T00304,C0099,10937.56,USD,Payment,False,2024-06-18
T00305,C0045,39200.17,INR,Payment,True,2024-03-08
T00306,C0194,27780.27,INR,Withdrawal,True,2024-07-18
T00307,C0134,35840.04,INR,Transfer,True,2024-05-18
T00308,C0126,4385.61,INR,Deposit,False,2024-03-04
T00309,C0160,39719.36,USD,Payment,True,2024-10-29
T00310,C0176,15860.7,INR,Transfer,False,2024-12-19
T00311,C0170,7117.62,USD,Payment,False,2024-12-27
T00312,C0127,15757.05,INR,Deposit,False,2024-03-17
T00313,C0124,24495.11,INR,Deposit,True,2024-01-29
T00314,C0127,44328.34,INR,Deposit,True,2024-03-20
T00315,C0134,43245.31,INR,Payment,True,2024-06-14
T00316,C0095,13767.14,INR,Withdrawal,False,2024-10-16
T00317,C0108,5373.27,USD,Transfer,False,2024-11-07
T00318,C0030,32870.81,USD,Transfer,True,2024-02-19
T00319,C0041,3778.66,INR,Payment,False,2024-01-26
T00320,C0153,30891.84,INR,Transfer,True,2024-04-13
T00321,C0013,38041.11,INR,Deposit,True,2024-11-07
T00322,C0098,20397.1,INR,Deposit,True,2024-08-08
T00323,C0132,11908.81,INR,Transfer,False,2024-08-02
T00324,C0042,41728.36,USD,Withdrawal,True,2024-07-20
T00325,C0077,2524.37,INR,Withdrawal,False,2024-04-26
T00326,C0037,18893.06,INR,Transfer,False,2024-05-15
T00327,C0043,25586.13,USD,Transfer,True,2024-07-26
T00328,C0139,19315.84,INR,Transfer,False,2024-06-21
T00329,C0143,20190.91,INR,Withdrawal,True,2024-05-25
T00330,C0052,15948.76,INR,Transfer,False,2024-12-28
T00331,C0058,41314.17,INR,Withdrawal,True,2024-12-05
T00332,C0135,42877.61,USD,Transfer,True,2024-06-28
T00333,C0182,43409.3,USD,Transfer,True,2024-04-24
T00334,C0028,12037.18,INR,Withdrawal,False,2024-02-04
T00335,C0010,47920.24,USD,Transfer,True,2024-08-22
T00336,C0118,40105.33,USD,Payment,True,2024-05-05
T00337,C0102,13609.95,INR,Deposit,False,2024-03-27
T00338,C0053,30864.43,USD,Deposit,True,2024-07-21
T00339,C0044,2900.84,INR,Deposit,False,2024-02-26
T00340,C0046,47728.63,USD,Payment,True,2024-04-09
T00341,C0060,7668.47,USD,Withdrawal,False,2024-09-18
T00342,C0003,27077.91,USD,Deposit,True,2024-01-16
T00343,C0114,29310.34,USD,Withdrawal,True,2024-01-25
T00344,C0015,9910.08,USD,Deposit,False,2024-12-10
T00345,C0132,44700.79,INR,Withdrawal,True,2024-09-24
T00346,C0022,10937.62,USD,Transfer,False,2024-09-23
T00347,C0017,37679.87,USD,Payment,True,2024-08-19
T00348,C0194,6529.85,INR,Payment,False,2024-08-09
T00349,C0124,26634.77,INR,Deposit,True,2024-04-14
T00350,C0017,14626.33,USD,Withdrawal,False,2024-09-02
T00351,C0133,43212.37,USD,Transfer,True,2024-04-26
T00352,C0034,31086.72,INR,Deposit,True,2024-08-03
T00353,C0190,39189.41,USD,Payment,True,2024-01-18
T00354,C0030,27599.73,INR,Transfer,True,2024-08-20
T00355,C0091,16402.4,USD,Payment,False,2024-03-27
T00356,C0096,6180.24,USD,Payment,False,2024-03-19
T00357,C0027,254.35,USD,Payment,False,2024-05-22
T00358,C0155,32060.99,INR,Payment,True,2024-01-12
T00359,C0115,48180.97,USD,Payment,True,2024-04-05
T00360,C0161,44684.46,INR,Withdrawal,True,2024-01-07
T00361,C0050,38983.87,INR,Transfer,True,2024-03-07
T00362,C0197,8161.04,USD,Deposit,False,2024-05-17
T00363,C0197,40365.01,INR,Transfer,True,2024-11-10
T00364,C0068,40119.31,USD,Deposit,True,2024-06-03
T00365,C0142,31935.96,INR,Deposit,True,2024-05-06
T00366,C0094,37740.7,USD,Payment,True,2024-02-12
T00367,C0069,33288.25,INR,Deposit,True,2024-07-16
T00368,C0125,43298.04,USD,Deposit,True,2024-06-26
T00369,C0163,33825.47,USD,Withdrawal,True,2024-09-29
T00370,C0100,18876.38,INR,Withdrawal,False,2024-01-15
T00371,C0122,48562.4,INR,Transfer,True,2024-09-16
T00372,C0111,36272.83,USD,Deposit,True,2024-02-03
T00373,C0124,31876.46,INR,Deposit,True,2024-10-22
T00374,C0149,19300.11,INR,Payment,False,2024-01-16
T00375,C0191,40525.09,USD,Transfer,True,2024-03-18
T00376,C0066,42591.06,USD,Deposit,True,2024-06-12
T00377,C0113,31559.26,USD,Transfer,True,2024-08-28
T00378,C0168,9118.38,INR,Deposit,False,2024-04-04
T00379,C0102,26902.35,INR,Transfer,True,2024-04-06
T00380,C0074,31844.14,INR,Withdrawal,True,2024-05-30
T00381,C0089,744.55,INR,Withdrawal,False,2024-11-27
T00382,C0082,8354.34,INR,Transfer,False,2024-09-30
T00383,C0148,48443.69,INR,Payment,True,2024-08-27
T00384,C0196,39138.76,INR,Deposit,True,2024-01-30
T00385,C0189,38827.99,USD,Transfer,True,2024-07-12
T00386,C0196,16739.15,USD,Transfer,False,2024-10-20
T00387,C0142,20657.58,INR,Transfer,True,2024-04-27
T00388,C0019,27707.9,USD,Payment,True,2024-11-15
T00389,C0175,9634.68,INR,Deposit,False,2024-04-25
T00390,C0119,11145.5,USD,Payment,False,2024-01-10
T00391,C0063,3739.21,INR,Payment,False,2024-10-12
T00392,C0135,46644.34,USD,Withdrawal,True,2024-04-15
T00393,C0044,36111.18,INR,Transfer,True,2024-03-13
T00394,C0067,13065.51,INR,Deposit,False,2024-02-29
T00395,C0066,18410.35,USD,Transfer,False,2024-09-19
T00396,C0146,49796.3,USD,Withdrawal,True,2024-07-13
T00397,C0079,22149.6,INR,Transfer,True,2024-04-02
T00398,C0052,31318.61,USD,Payment,True,2024-01-07
T00399,C0070,3586.35,USD,Deposit,False,2024-03-06
T00400,C0051,14878.73,INR,Transfer,True,2024-11-26
T00401,C0089,6768.32,INR,Deposit,False,2024-11-01
T00402,C0019,9147.78,USD,Payment,False,2024-02-22
T00403,C0112,44270.13,USD,Withdrawal,True,2024-10-28
T00404,C0077,1669.8,USD,Withdrawal,False,2024-03-19
T00405,C0012,5359.02,INR,Payment,False,2024-09-23
T00406,C0159,3928.77,USD,Deposit,False,2024-07-31
T00407,C0092,41727.34,INR,Withdrawal,True,2024-09-07
T00408,C0195,46244.19,USD,Deposit,True,2024-07-09
T00409,C0009,49616.37,INR,Transfer,True,2024-10-03
T00410,C0042,27806.37,USD,Transfer,True,2024-07-27
T00411,C0096,34779.89,INR,Payment,True,2024-03-02
T00412,C0176,16853.05,USD,Withdrawal,False,2024-08-31
T00413,C0138,27753.6,USD,Transfer,True,2024-10-30
T00414,C0046,24975.07,INR,Withdrawal,True,2024-06-04
T00415,C0052,36096.63,USD,Payment,True,2024-07-18
T00416,C0144,12469.47,USD,Transfer,False,2024-03-16
T00417,C0061,12167.17,INR,Deposit,False,2024-09-24
T00418,C0167,36089.94,INR,Payment,True,2024-09-19
T00419,C0165,7824.97,USD,Transfer,False,2024-02-03
T00420,C0114,42499.8,INR,Withdrawal,True,2024-12-29
T00421,C0014,24933.38,INR,Transfer,True,2024-08-04
T00422,C0115,33509.21,USD,Deposit,True,2024-07-06
T00423,C0007,22615.14,USD,Transfer,True,2024-03-06
T00424,C0019,32142.55,USD,Deposit,True,2024-07-13
T00425,C0145,24614.14,INR,Deposit,True,2024-05-04
T00426,C0120,41656.25,USD,Deposit,True,2024-01-26
T00427,C0078,15610.27,INR,Payment,False,2024-03-19
T00428,C0135,45599.09,USD,Transfer,True,2024-12-21
T00429,C0200,2337.48,USD,Transfer,True,2024-09-30
T00430,C0163,29956.8,INR,Withdrawal,True,2024-08-04
T00431,C0080,6594.71,USD,Withdrawal,False,2024-07-15
T00432,C0051,8369.38,USD,Withdrawal,False,2024-12-13
T00433,C0019,45675.47,INR,Withdrawal,True,2024-05-02
T00434,C0144,15510.15,USD,Transfer,False,2024-01-11
T00435,C0041,45731.5,USD,Withdrawal,True,2024-05-29
T00436,C0088,42330.49,USD,Payment,True,2024-09-06
T00437,C0079,24603.42,INR,Transfer,True,2024-08-28
T00438,C0143,40094.65,USD,Deposit,True,2024-01-24
T00439,C0087,32153.27,USD,Payment,True,2024-08-19
T00440,C0047,22749.72,INR,Withdrawal,True,2024-12-13
T00441,C0154,12958.06,INR,Deposit,False,2024-04-03
T00442,C0075,27057.54,USD,Payment,True,2024-11-19
T00443,C0042,9041.18,INR,Withdrawal,False,2024-09-13
T00444,C0032,29775.67,INR,Payment,True,2024-09-05
T00445,C0185,42703.03,USD,Transfer,True,2024-06-15
T00446,C0094,22636.15,INR,Withdrawal,True,2024-04-13
T00447,C0065,43697.12,USD,Deposit,True,2024-01-18
T00448,C0109,2606.78,INR,Deposit,False,2024-04-09
T00449,C0126,28076.96,USD,Transfer,True,2024-08-17
T00450,C0144,29074.75,INR,Payment,True,2024-05-30
T00451,C0077,9793.58,INR,Transfer,False,2024-10-18
T00452,C0091,39856.39,INR,Payment,True,2024-06-26
T00453,C0005,40543.55,INR,Deposit,True,2024-06-13
T00454,C0158,42946.74,USD,Payment,True,2024-05-18
T00455,C0097,49855.75,USD,Withdrawal,True,2024-03-29
T00456,C0166,29416.08,USD,Transfer,True,2024-01-25
T00457,C0088,25246.6,INR,Transfer,True,2024-03-25
T00458,C0066,24350.6,USD,Deposit,True,2024-09-21
T00459,C0172,6854.84,INR,Deposit,False,2024-03-06
T00460,C0182,9285.19,USD,Withdrawal,False,2024-09-09
T00461,C0160,21688.58,INR,Withdrawal,True,2024-03-24
